Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A2.1,  65.91649602349008, 363.23447 d, 0.13423280726283338, Wrong Period,  3.74658040888453 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.2,  50.22513170135579, 21.05558 d, 0.004517501571520199, Wrong Period,  23.29167621195741 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.3,  34.827556244629925, 7.99926 d, 0.001657190366949557, Wrong Period,  7.661984480122196 d, 3.88204 d, Correct t0 value, Transit not found
Planet A2.4,  68.95321461112135, 1.14705 d, 9.328826361543197e-05, Wrong Period,  42.15571115503879 d, 1.15512 d, Wrong t0 value, Transit not found
Planet A2.5,  4.823218605234911, 4.82322 d, 0.0010552550794371562, Correct Period,  4.142695796185142 d, 4.15081 d, Correct t0 value, Found Correct Transit
Planet A2.6,  6.958826683414726, 65.01225 d, 0.020306441815279186, Wrong Period,  6.6104860650278345 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A2.7,  9.854148851786462, 29.56533 d, 0.004734996132985003, Wrong Period,  5.647665635781311 d, 5.61156 d, Correct t0 value, Transit not found
Planet A2.8,  11.783176335495968, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  0.1024718384061732 d, 0.46362 d, Correct t0 value, Transit not found
Planet A2.9,  26.420260910078163, 218.41384 d, 0.17035172894780715, Wrong Period,  19.072609345433147 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.10,  59.12748164293863, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  20.756588990604243 d, 0.45656 d, Wrong t0 value, Transit not found
Planet A2.11,  46.127243872061015, 218.41384 d, 0.17035172894780715, Wrong Period,  0.9874050795075261 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.12,  33.92944922708432, 75.80631 d, 0.024928975549059373, Wrong Period,  23.773664150031237 d, 5.65707 d, Wrong t0 value, Transit not found
Planet A2.13,  20.966607588447044, 13.98549 d, 0.005234742947229698, Wrong Period,  12.954950618980858 d, 0.65775 d, Wrong t0 value, Transit not found
Planet A2.14,  49.409470018336265, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  7.757378176659388 d, 0.45656 d, Wrong t0 value, Transit not found
Planet A2.15,  6.852636048258762, 65.01225 d, 0.020306441815279186, Wrong Period,  1.1687460558989096 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A2.16,  32.10870316803421, nan d, -182.1917299712955, Wrong Period,  20.58713103094687 d, no values d, Wrong t0 value, Transit not found
Planet A2.17,  8.895803784461576, nan d, -182.1917299712955, Wrong Period,  8.510060004818602 d, no values d, Wrong t0 value, Transit not found
Planet A2.18,  8.108472994752741, 21.05558 d, 0.004517501571520199, Wrong Period,  4.9971927470376905 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.19,  63.74153533366547, nan d, -182.1917299712955, Wrong Period,  54.706847137510074 d, no values d, Wrong t0 value, Transit not found
Planet A2.20,  74.38835191147116, 21.05558 d, 0.004517501571520199, Wrong Period,  54.29253930823485 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.21,  25.70889356510345, 75.80631 d, 0.024928975549059373, Wrong Period,  1.7405968534020377 d, 5.65707 d, Correct t0 value, Transit not found
Planet A2.22,  44.80499952136913, 75.80631 d, 0.024928975549059373, Wrong Period,  33.45789175971063 d, 5.69757 d, Wrong t0 value, Transit not found
Planet A2.23,  28.26758766633262, 13.98375 d, 0.0043619228504558905, Wrong Period,  3.192795511297608 d, 0.67986 d, Correct t0 value, Transit not found
Planet A2.24,  6.228389375403162, 12.45791 d, 0.0014957862798787858, Wrong Period,  2.5756307891446393 d, 2.54544 d, Correct t0 value, Transit not found
Planet A2.25,  59.97410817252583, 218.41384 d, 0.17035172894780715, Wrong Period,  40.22806163012748 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.26,  11.421590120606353, 105.68666 d, 0.025880312253548254, Wrong Period,  2.0934443578034503 d, 37.36488 d, Wrong t0 value, Transit not found
Planet A2.27,  5.784839373721709, 43.69518 d, 0.011958168050796303, Wrong Period,  4.975468408026334 d, 26.40584 d, Wrong t0 value, Transit not found
Planet A2.28,  53.8145240843333, 363.23447 d, 0.13423280726283338, Wrong Period,  18.845155082062192 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.29,  2.069894248682061, 360.16453 d, 0.26544460913777357, Wrong Period,  0.8631611836880052 d, 359.79457 d, Wrong t0 value, Transit not found
Planet A2.30,  23.007424812038966, 2.44042 d, 0.00025524985591696137, Wrong Period,  19.130805402342265 d, 1.35296 d, Wrong t0 value, Transit not found
Planet A2.31,  33.958102158457194, 363.23447 d, 0.13423280726283338, Wrong Period,  25.656332657188855 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.32,  58.82423761237578, 7.99926 d, 0.001657190366949557, Wrong Period,  27.53834801014414 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A2.33,  43.41453936646631, 8.78071 d, 0.0014074657598657225, Wrong Period,  16.975195281287665 d, 2.35335 d, Wrong t0 value, Transit not found
Planet A2.34,  51.292443206375886, 129.15005 d, 0.03381183051237713, Wrong Period,  47.978066286295196 d, 28.85233 d, Wrong t0 value, Transit not found
Planet A2.35,  70.61756542428256, 218.41384 d, 0.17035172894780715, Wrong Period,  33.30850297183768 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.36,  1.4929401871516312, 1.49288 d, 0.0002651134261724142, Correct Period,  1.2941300608468962 d, 1.30763 d, Correct t0 value, Found Correct Transit
Planet A2.37,  70.35072033008755, 21.05558 d, 0.004517501571520199, Wrong Period,  26.938392204935916 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.38,  33.99905011416923, 13.98549 d, 0.0043619228504558905, Wrong Period,  5.767492761909538 d, 0.65775 d, Wrong t0 value, Transit not found
Planet A2.39,  65.16827257416449, nan d, -182.1917299712955, Wrong Period,  28.503764488751735 d, no values d, Wrong t0 value, Transit not found
Planet A2.40,  60.70011699357246, 65.01225 d, 0.020306441815279186, Correct Period,  15.904561268936865 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A2.41,  46.78464002350437, nan d, -182.1917299712955, Wrong Period,  1.6394686866840302 d, no values d, Wrong t0 value, Transit not found
Planet A2.42,  36.911655969635085, nan d, -182.1917299712955, Wrong Period,  35.12375594621564 d, no values d, Wrong t0 value, Transit not found
Planet A2.43,  37.317350252100404, 21.05558 d, 0.004517501571520199, Wrong Period,  35.35003585498091 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A2.44,  53.59566748622379, 53.59286 d, 0.015700000939112613, Correct Period,  18.060228532782027 d, 18.07446 d, Correct t0 value, Found Correct Transit
Planet A2.45,  26.52986501371541, 8.78071 d, 0.0014074657598657225, Wrong Period,  11.602753778537227 d, 2.35335 d, Wrong t0 value, Transit not found
Planet A2.46,  56.56228320676297, nan d, -182.1917299712955, Wrong Period,  21.465363451929733 d, no values d, Wrong t0 value, Transit not found
Planet A2.47,  66.95652201669904, 21.02550 d, 0.007513396378149295, Wrong Period,  20.02634364149144 d, 17.64964 d, Correct t0 value, Transit not found
Planet A2.48,  31.30244740139487, 218.41384 d, 0.17035172894780715, Wrong Period,  2.292206005362422 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.49,  6.276349349692589, 6.27632 d, 0.0017988874828547274, Correct Period,  0.7250836464844438 d, 0.74325 d, Correct t0 value, Found Correct Transit
Planet A2.50,  46.37439801643434, 2.29408 d, 0.00023507023856650378, Wrong Period,  38.36379410427367 d, 1.16562 d, Wrong t0 value, Transit not found
Planet A2.51,  36.944626513410356, 218.41384 d, 0.17035172894780715, Wrong Period,  1.9572493877430566 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.52,  17.256640095636318, 204.39788 d, 0.0623607202563079, Wrong Period,  3.3402125919728824 d, 118.93899 d, Wrong t0 value, Transit not found
Planet A2.53,  69.46395759342924, 218.41384 d, 0.17035172894780715, Wrong Period,  4.545336331247938 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A2.54,  46.86549625862571, 363.23447 d, 0.13423280726283338, Wrong Period,  31.75378655020967 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.55,  53.27931890577179, 65.01225 d, 0.020306441815279186, Wrong Period,  22.18517888873927 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A2.56,  38.82096812533868, nan d, -182.1917299712955, Wrong Period,  6.908320624770944 d, no values d, Wrong t0 value, Transit not found
Planet A2.57,  64.47640766868328, nan d, -182.1917299712955, Wrong Period,  50.9600179915768 d, no values d, Wrong t0 value, Transit not found
Planet A2.58,  70.66924419576215, 363.23447 d, 0.13423280726283338, Wrong Period,  41.63587622600602 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A2.59,  52.4856267553861, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  20.788410001789416 d, 0.45656 d, Wrong t0 value, Transit not found
Planet A2.60,  58.97669718665647, 21.05558 d, 0.004517501571520199, Wrong Period,  18.793830330488735 d, 17.42288 d, Correct t0 value, Transit not found
Planet A2.61,  37.26676545550265, 7.99926 d, 0.001657190366949557, Wrong Period,  26.6360535613806 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A2.62,  65.86732789160754, 218.41384 d, 0.17035172894780715, Wrong Period,  3.7586782615648766 d, 113.85365 d, Wrong t0 value, Transit not found
