Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet B3.5,  138.5343006551584, 359.63416 d, 1.3226743970217285, Wrong Period,  30.671237793950706 d, 179.55336 d, Wrong t0 value, Transit not found
Planet B3.6,  120.8715907007828, 289.28073 d, 0.39654630851629236, Wrong Period,  9.953959430294871 d, 95.85133 d, Wrong t0 value, Transit not found
Planet B3.7,  95.53076237339147, 358.70852 d, 1.319432744568246, Wrong Period,  20.07057745184097 d, 135.39900 d, Wrong t0 value, Transit not found
Planet B3.8,  78.7481080456394, 358.70852 d, 1.319432744568246, Wrong Period,  7.489915161331311 d, 135.39900 d, Wrong t0 value, Transit not found
Planet B3.9,  129.34269027438776, 129.35313 d, 0.11856891563456884, Correct Period,  9.716130293335079 d, 9.69565 d, Correct t0 value, Found Correct Transit
Planet B3.10,  84.0759923926416, 84.07046 d, 0.06677301845328287, Correct Period,  11.42919936498777 d, 11.45041 d, Correct t0 value, Found Correct Transit
Planet B4.1,  85.23386286848788, 85.20601 d, 0.058275976255657724, Correct Period,  68.69083573832388 d, 68.76241 d, Correct t0 value, Found Correct Transit
Planet B4.2,  140.91269623950825, 289.28073 d, 0.39654630851629236, Wrong Period,  88.06313955228798 d, 95.73033 d, Wrong t0 value, Transit not found
Planet B4.3,  135.47379721742573, 135.46854 d, 0.10814403198823186, Correct Period,  95.93938973807157 d, 95.98756 d, Correct t0 value, Found Correct Transit
Planet B4.4,  140.00757468433645, 360.29728 d, 1.128975298023363, Wrong Period,  126.69917793111206 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B4.5,  102.97945929466295, 360.29728 d, 1.1939186384545337, Wrong Period,  1.1728776279167425 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B4.6,  128.67304077122682, 359.76665 d, 0.927234541296599, Wrong Period,  14.388211862006221 d, 314.32832 d, Wrong t0 value, Transit not found
Planet B4.7,  123.7268104637736, 358.44463 d, 1.3850652939246118, Wrong Period,  113.37924289110245 d, 135.71331 d, Wrong t0 value, Transit not found
Planet B4.8,  129.48513390265583, 358.44463 d, 1.3187856062284027, Wrong Period,  50.112556178083075 d, 135.71331 d, Wrong t0 value, Transit not found
Planet B4.9,  135.99687435032982, 136.01050 d, 0.10864414095297548, Correct Period,  49.53318409917603 d, 49.52916 d, Correct t0 value, Found Correct Transit
Planet B4.10,  104.53143612560044, 104.55606 d, 0.07653549160605166, Correct Period,  5.582336115767118 d, 5.54951 d, Correct t0 value, Found Correct Transit
Planet B5.1,  114.92245163950146, 360.29728 d, 1.062303496949994, Wrong Period,  107.19430772530077 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B5.2,  122.5705271119362, 358.44463 d, 1.3850652939246118, Wrong Period,  66.8623574918739 d, 135.71331 d, Wrong t0 value, Transit not found
Planet B5.3,  145.87551003320124, 145.88187 d, 0.11928189060121497, Correct Period,  81.94782012014339 d, 81.93706 d, Correct t0 value, Found Correct Transit
Planet B5.4,  104.61636600839327, 104.63263 d, 0.07658531124847201, Correct Period,  9.406566785466492 d, 9.36355 d, Correct t0 value, Found Correct Transit
Planet B5.5,  142.68478575645594, 360.03184 d, 0.7947719448319788, Wrong Period,  95.6304930898013 d, 314.69504 d, Wrong t0 value, Transit not found
